0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-310.61316,162.83948,-2.1609483,23.428316,23.713642,-6.74655,7.52445,1.0151532,-9.793855,-6.007255,-6.1713815,3.7479591,3.1820128,-4.1702785,2.5113635,-1.0348817,-4.7959433,2.1014233,-0.9306244,-3.347422
-299.17587,162.27089,-13.991361,19.036385,21.784376,-5.4201856,8.740768,-0.77312636,-2.2751796,0.41988808,-13.129353,-0.1554032,5.8848424,-4.0489874,1.9985387,-2.235627,-5.7947936,4.9486837,1.6545541,-4.6203904
-315.01135,184.12369,-18.191582,36.1616,22.58064,-9.458875,21.997389,2.892142,-5.5453815,2.5489738,-6.172806,6.043654,3.551605,-1.3053002,6.0120344,-6.5486293,0.67684054,9.904967,-4.7062373,2.230133
-322.36588,120.3061,-52.878304,11.682088,5.3509655,-22.134026,10.842291,-6.3788733,-11.903673,0.7657931,-14.754949,-9.972939,-2.8638563,-4.3559685,-1.6608438,-10.196649,-3.8803759,2.8536823,-9.479216,-6.453296
-298.1995,141.68416,-58.80521,36.152363,16.384655,-20.729193,17.87354,-13.366903,-11.73286,5.4024267,-20.510172,-6.133043,-0.7110747,-12.297921,-0.2039722,-5.7691665,-4.708451,2.0571947,-8.203475,-2.816512
-310.119,127.82475,-34.951088,32.906498,19.829193,-10.380054,15.544605,-8.555768,-7.3824797,5.5950327,-14.535848,-2.8038497,3.1904116,-7.912907,-1.3576417,-4.2089887,-1.9485217,3.9918807,-4.5915265,-2.6401572
-312.20312,151.53654,-22.655182,36.501507,28.305403,-4.931782,14.361896,-4.2289176,-4.6007977,-0.059934065,-15.813309,0.9135534,3.8693213,-5.839294,2.166695,-4.7193136,-1.7137134,7.331463,-2.7513015,-0.6013513
-316.59195,162.28694,-24.325186,46.079258,31.75738,-8.149663,19.341505,0.7992698,-3.3441696,3.7300234,-10.1114,4.7113233,5.6755466,-2.7765722,3.8352678,-5.203469,1.2898211,9.053293,-4.066554,2.5945601
-309.36758,116.03755,-44.801456,21.721888,17.230515,-14.468577,8.217373,-7.768836,-6.921287,0.3077421,-17.876358,-2.953221,3.2700372,-8.2536745,-0.30326203,-3.7063806,-3.5960562,4.434775,-4.754707,-4.368003
-319.70135,127.41708,-58.68965,14.3135805,7.865439,-21.931654,10.249267,-10.341128,-12.910967,-1.4579717,-18.964836,-5.9370637,0.56311077,-7.412245,-0.059641324,-6.3087735,-4.293541,3.15667,-7.5951376,-7.2880936
-290.95453,136.04443,-45.46221,36.402317,16.264109,-14.376444,20.394316,-8.921203,-6.477112,5.098277,-20.097006,-4.3913994,-1.4457995,-11.280829,1.1526473,-9.380807,-5.68713,7.6105247,-6.9582744,-5.366189
-295.85724,132.63869,-56.946186,37.070454,17.13388,-16.55548,17.445398,-16.108664,-9.382157,5.9290276,-23.20944,-7.5293856,-3.719027,-13.939297,-0.059773713,-9.760145,-6.155866,4.4340386,-10.976183,-5.5396833
-296.37872,180.63248,-27.029762,44.17192,34.662205,-6.31824,20.831978,0.72668916,-6.600579,-0.2444402,-13.020712,3.451995,5.111485,-5.6884036,-0.713189,-7.921827,-0.122848585,7.0445857,-6.7584257,0.08457755
-290.81497,173.31667,-16.999184,36.03531,26.38005,-4.8067284,17.187433,-4.1784763,-2.9649734,4.9592667,-18.37627,-4.894634,3.4784262,-8.426004,-1.8130327,-5.545357,-3.380727,9.245335,1.0531608,-4.6665998
-305.43512,134.72472,-67.0503,22.850624,12.794205,-24.738789,10.089779,-11.529422,-10.950215,-0.995479,-23.58743,-8.105916,-3.741171,-12.141183,0.2757789,-8.703943,-7.655913,3.88915,-6.063584,-5.316279
-274.16025,133.31886,-42.437122,34.876614,26.661695,-8.900577,13.367968,-12.902954,-10.298754,5.971804,-15.1228695,-6.020216,-0.7525799,-9.841864,-0.7163109,-3.65861,-1.7570114,3.6582499,-6.1768355,-2.4357243
-304.42288,155.01521,-20.84455,34.970924,38.08545,0.70750743,10.899532,-6.9802594,-11.267867,-1.2933112,-8.636049,3.5065026,3.2324567,-9.80747,-1.5337055,-0.9887592,-1.5665038,4.3692255,-1.3565829,-3.0992007
-319.26392,158.84396,-21.648722,30.215788,39.087227,5.347785,11.83612,-4.070562,-6.2319803,-1.4172633,-10.148906,3.0295272,1.8878154,-8.481573,-0.3340045,-4.003544,-3.007038,6.4004936,0.16470811,-2.715768
-355.22,149.42569,-19.441343,38.483032,29.895864,-2.3990088,18.621136,-1.2308953,-4.51496,5.2376266,-5.564658,5.3033752,1.3044633,-8.382354,3.64051,-1.6579434,-0.06217238,8.95478,-1.9211588,-0.18451823
-312.39673,145.28062,-58.999912,26.621534,27.091417,-9.79741,12.02377,-12.491648,-11.0012,-1.1112007,-18.493267,-2.960751,-3.3681018,-10.023672,4.7042966,-6.3472824,-4.9797726,8.123568,-4.0915656,-4.403949
-328.08392,128.41887,-48.256668,31.693321,25.459232,-7.9727364,13.875621,-10.266995,-4.83459,5.8726153,-16.789968,-4.3155656,-1.3421737,-8.710741,1.7669969,-6.744958,-2.3496695,7.7919493,-5.638471,-3.312154
-268.98398,167.82407,-59.201546,40.577347,11.119822,-22.559193,27.417624,-9.984713,-8.122356,8.359909,-19.959885,1.5920901,4.04817,-11.407234,3.6594336,-5.2666764,-2.2374318,6.648255,-9.114948,-1.2767324
-326.28976,178.67265,-12.229058,36.892017,24.356735,-14.810941,13.880938,2.1057873,-9.280123,-1.5604638,-8.01588,4.424119,6.5007405,-4.4575295,0.057296395,-2.4957764,0.54759353,5.284231,-3.5899663,1.172485
-305.8773,173.05417,-17.598263,31.790485,25.765749,-9.700889,13.372835,-0.115715444,-8.629657,-3.946724,-11.177895,4.60956,4.245197,-6.017083,3.7711825,-3.844996,-5.8483,6.2187777,0.07674735,-1.6959422
-368.53714,139.08604,-6.731664,36.913578,20.095913,-5.333496,20.406433,3.3323631,-2.7175167,3.639853,-4.7681403,7.348991,4.889726,-2.5011044,6.702633,-1.6220858,-0.5494907,8.11311,-0.6477631,2.43832
-314.3396,139.7275,-38.12547,18.413898,12.63075,-17.990934,6.9117713,-4.7790627,-4.798767,-1.9533187,-17.451565,-0.57779175,2.0556862,-7.9026403,1.3687464,-6.5206666,-6.454084,5.0257926,-4.082642,-5.0971212
-310.60587,169.88055,-9.2054825,22.869501,21.38938,-7.1280174,10.233606,-1.6370609,-5.955055,0.95246243,-11.782458,-1.7294444,5.6206136,-5.249216,-1.2350856,-2.2607813,-5.917241,2.4698737,2.0118856,-3.7382112
-378.98563,136.99828,5.687363,28.963543,21.676079,-3.3849168,11.96709,7.685767,1.826491,-0.13647835,-6.5063605,4.422107,5.123215,-1.0975815,2.809659,-2.7124083,-0.028934136,7.77765,0.3021701,0.694151
-326.74142,139.65092,-51.209972,16.625286,9.336536,-24.331224,6.921998,-8.263634,-10.768703,-3.8667495,-22.158585,-6.5903907,-0.39119297,-11.590031,-3.2056663,-7.3231864,-6.259535,2.189032,-7.718454,-7.2395654
-314.0361,165.15236,-2.3836012,21.781693,33.14773,7.3397894,9.452651,-3.2718637,-10.103552,-5.691243,-6.6999784,1.6445239,-1.8193079,-7.483757,1.0507145,-2.7059722,-3.9311318,3.1823795,-0.8414606,-0.6900718
-312.13824,152.20444,-10.326592,26.864359,32.9925,2.89742,9.046418,-4.21916,-5.3986435,0.18522082,-13.805517,-4.4981384,2.4476566,-6.524487,-0.82819945,-2.1149511,-4.2859874,5.820664,2.889286,-3.0407119
-330.29715,140.38174,4.377444,32.652885,34.552647,6.2517147,12.257451,3.2062635,-5.2808714,-4.2614255,-6.097614,0.8790863,-1.4408592,-3.825303,2.564625,-2.2057064,0.5441527,7.0846405,-0.12297291,0.6057202
-320.71915,128.87144,-39.16226,20.66638,28.113747,-6.2181926,3.966988,-7.0662785,-3.645054,-1.7334737,-20.122383,-6.246388,-1.1201382,-10.162414,-1.1517084,-6.2818213,-7.666693,3.2587788,-2.8427956,-4.604364
-352.76785,119.76707,-52.5095,30.498684,15.657563,-15.059446,17.5854,-11.517239,-11.455174,5.1999316,-15.578693,-5.669955,-2.9266284,-10.2952385,1.2580072,-6.3007975,-4.238203,4.1880054,-8.167759,-5.242758
